"¿Cuál es su perfil?";"¿Qué medios de comunicación usa en el contexto universitario?";"¿Cómo prefiere la interacción con el profesorado (clases, tutorías...)?";"Valore la importancia de las siguientes características de la interacción con el profesorado (clases, tutorías...). [La rapidez en la respuesta]";"Valore la importancia de las siguientes características de la interacción con el profesorado (clases, tutorías...). [Disponibilidad para resolver dudas]";"Valore la importancia de las siguientes características de la interacción con el profesorado (clases, tutorías...). [Retroalimentación constructiva]";"Valore la importancia de las siguientes características de la interacción con el profesorado (clases, tutorías...). [Empatía y comprensión]";"Valore la importancia de las siguientes características de la interacción con el profesorado (clases, tutorías...). [Uso de ejemplos prácticos]";"Valore la importancia de las siguientes características de la interacción con el profesorado (clases, tutorías...). [Flexibilidad en los horarios de atención]";"Valore la importancia de las siguientes características de la interacción con el profesorado (clases, tutorías...). [Accesibilidad a través de diferentes medios (correo, chat, etc.)]";"Valore la importancia de las siguientes características de la interacción con el profesorado (clases, tutorías...). [Motivación y apoyo continuo]";"Valore la importancia de las siguientes características de la interacción con el profesorado (clases, tutorías...). [Confianza en las respuestas]";"Valore la importancia de las siguientes características de la interacción con el profesorado (clases, tutorías...). [Personalización de las respuestas]";"¿Qué chatbots (programas que simulan una conversación humana para proporcionar información o realizar tareas) conoce y/o usa? [ChatGPT]";"¿Qué chatbots (programas que simulan una conversación humana para proporcionar información o realizar tareas) conoce y/o usa? [Copilot/Bing Chat]";"¿Qué chatbots (programas que simulan una conversación humana para proporcionar información o realizar tareas) conoce y/o usa? [Gemini]";"¿Qué chatbots (programas que simulan una conversación humana para proporcionar información o realizar tareas) conoce y/o usa? [Claude]";"¿Qué chatbots (programas que simulan una conversación humana para proporcionar información o realizar tareas) conoce y/o usa? [NotebookLM]";"Si conoce y/o usa otro chatbot puede indicar el nombre y el uso aquí:";"¿Con que frecuencia utiliza chatbots?";"Relacionado con el aprendizaje en el contexto universitario, ¿cuáles de la siguientes opciones de uso de chatbots le parecen útiles? [Preparar ejercicios o ejemplos]";"Relacionado con el aprendizaje en el contexto universitario, ¿cuáles de la siguientes opciones de uso de chatbots le parecen útiles? [Generar material de estudio complementario]";"Relacionado con el aprendizaje en el contexto universitario, ¿cuáles de la siguientes opciones de uso de chatbots le parecen útiles? [Mejorar la corrección preliminar de ejercicios y dar retroalimentación]";"Relacionado con el aprendizaje en el contexto universitario, ¿cuáles de la siguientes opciones de uso de chatbots le parecen útiles? [Ayudar en la resolución de ejercicios como un/a profesor/a particular]";"Relacionado con el aprendizaje en el contexto universitario, ¿cuáles de la siguientes opciones de uso de chatbots le parecen útiles? [Asistencia en procedimientos legales, becas y ayudas]";"Relacionado con el aprendizaje en el contexto universitario, ¿cuáles de la siguientes opciones de uso de chatbots le parecen útiles? [Comunicación entre profesorado y alumnado]";"Relacionado con el aprendizaje en el contexto universitario, ¿cuáles de la siguientes opciones de uso de chatbots le parecen útiles? [Responder a preguntas administrativas relacionadas con una asignatura]";"Relacionado con el aprendizaje en el contexto universitario, ¿cuáles de la siguientes opciones de uso de chatbots le parecen útiles? [Resumir material de estudio (a partir de vídeos, de texto, etc.)]";"Relacionado con el aprendizaje en el contexto universitario, ¿cuáles de la siguientes opciones de uso de chatbots le parecen útiles? [Responder a preguntas sobre el temario]";"Relacionado con el aprendizaje en el contexto universitario, ¿cuáles de la siguientes opciones de uso de chatbots le parecen útiles? [Recordar fechas importantes (deadlines, entregas de trabajos...)]";"Relacionado con el aprendizaje en el contexto universitario, ¿cuáles de la siguientes opciones de uso de chatbots le parecen útiles? [Tareas de traducción]";"Si le parece útil otro uso de chatbots relacionado con el aprendizaje en el contexto universitario puede indicarlo aquí:";"Lea y valore las siguientes afirmaciones sobre chatbots. [Los chatbots proporcionan respuestas confiables y precisas a mis preguntas académicas.]";"Lea y valore las siguientes afirmaciones sobre chatbots. [Los chatbots pueden ofrecer explicaciones claras y comprensibles sobre temas complejos.]";"Lea y valore las siguientes afirmaciones sobre chatbots. [Los chatbots me ayudan con mis tareas y proyectos.]";"Lea y valore las siguientes afirmaciones sobre chatbots. [Los chatbots deben ser una parte integral de la experiencia educativa de un/a estudiante.]";"Lea y valore las siguientes afirmaciones sobre chatbots. [Los chatbots pueden ayudar a mejorar las habilidades de estudio y aprendizaje.]";"Lea y valore las siguientes afirmaciones sobre chatbots. [El uso de chatbots en el ámbito universitario es ético.]";"Lea y valore las siguientes afirmaciones sobre chatbots. [Los chatbots manejan correctamente los datos sensibles.]";"Lea y valore las siguientes afirmaciones sobre chatbots. [Los chatbots proporcionan información sesgada.]";"Lea y valore las siguientes afirmaciones sobre chatbots. [Los chatbots tienen un problema de privacidad.]";"Lea y valore las siguientes afirmaciones sobre chatbots. [El uso de chatbots conduce a la dependencia tecnológica.]";"Lea y valore las siguientes afirmaciones sobre chatbots. [Los chatbots no respetan la privacidad de los usuarios.]";"Lea y valore las siguientes afirmaciones sobre chatbots. [El uso de chatbots conduce a una falta de pensamiento crítico.]";"¿Cuál es su campo de estudio/área de trabajo?";"¿Qué edad tiene?";"¿Con qué género se identifica?";"Déjenos aquí cualquier comentario que quiera hacernos llegar sobre esta encuesta."
"Estudiante (de grado)";"Correo electrónico, Plataforma de gestión del aprendizaje (Prado, Moodle, Ecampus, etc.)";"Videoconferencias en tiempo real, Clases presenciales en el aula, Mensajes en plataformas de aprendizaje, Correos electrónicos, Foros de discusión en línea";"Muy importante";"Muy importante";"Muy importante";"Muy importante";"Muy importante";"Muy importante";"Muy importante";"Muy importante";"Muy importante";"Muy importante";"Lo conozco, pero no lo he usado";"No lo conozco";"Lo conozco, pero no lo he usado";"No lo conozco";"No lo conozco";;"Nunca";"Me gustaría hacerlo";"Me gustaría hacerlo";"Me gustaría hacerlo";"Me gustaría hacerlo";"Me gustaría hacerlo";"Me gustaría hacerlo";"Me gustaría hacerlo";"Me gustaría hacerlo";"Me gustaría hacerlo";"Me gustaría hacerlo";"Me gustaría hacerlo";;"Ni estoy de acuerdo ni en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Historia y Artes";18;"Femenino";
"Docente";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Ingenierías de la Comunicación, Computación y Electrónica";53;"Masculino";
"Estudiante (de posgrado)";"Correo electrónico, Plataforma de gestión del aprendizaje (Prado, Moodle, Ecampus, etc.), Telegram, WhatsApp";"Mensajes en plataformas de aprendizaje, Correos electrónicos, Videos pregrabados y materiales de lectura, Clases presenciales en el aula";"Importante";"Importante";"Poco importante";"Neutral";"Muy importante";"Importante";"Poco importante";"Poco importante";"Muy importante";"Importante";"Lo uso tanto en el conexto universitario como para otras tareas";"Lo conozco, pero no lo he usado";"Lo uso para otras tareas";"Lo conozco, pero no lo he usado";"No lo conozco";;"A veces";"Lo he hecho";"Lo he hecho";"Lo he hecho";"Lo he hecho";"Me gustaría hacerlo";"No me parece útil";"Lo he hecho";"Lo he hecho";"Lo he hecho";"No me parece útil";"Lo he hecho";;"Más bien en desacuerdo";"Completamente de acuerdo";"Completamente de acuerdo";"Completamente de acuerdo";"Completamente de acuerdo";"Completamente de acuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Más bien de acuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Completamente de acuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Ingenierías de la Comunicación, Computación y Electrónica";23;"Masculino";"Debe  implementarse pero ya la educación implementada con chatbots"
"Estudiante (de posgrado)";"Correo electrónico, Plataforma de gestión del aprendizaje (Prado, Moodle, Ecampus, etc.), WhatsApp";"Chats en tiempo real (mensajería instantánea), Clases presenciales en el aula, Videoconferencias en tiempo real";"Importante";"Importante";"Muy importante";"Muy importante";"Importante";"Importante";"Importante";"Muy importante";"Importante";"Neutral";"Lo uso tanto en el conexto universitario como para otras tareas";;;;"Lo uso tanto en el conexto universitario como para otras tareas";;"Siempre";"Lo he hecho";"Lo he hecho";"Lo he hecho";"Me gustaría hacerlo";"Lo he hecho";"Me gustaría hacerlo";"Me gustaría hacerlo";"Lo he hecho";"Me gustaría hacerlo";"No me parece útil";"Lo he hecho";;"Más bien de acuerdo";"Más bien de acuerdo";"Completamente de acuerdo";"Completamente de acuerdo";"Más bien de acuerdo";"Completamente de acuerdo";"Más bien en desacuerdo";"Más bien de acuerdo";"Más bien de acuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Más bien de acuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Ciencias de la actividad física y el deporte";44;"Femenino";"Considero que los Chatbots son el presente y forman parte del futuro de la mejora docente. "
"Estudiante (de grado)";"Correo electrónico, Plataforma de gestión del aprendizaje (Prado, Moodle, Ecampus, etc.)";"Mensajes en plataformas de aprendizaje, Clases presenciales en el aula";"Importante";"Importante";"Muy importante";"Muy importante";"Muy importante";"Muy importante";"Importante";"Muy importante";"Importante";"Muy importante";"Lo conozco, pero no lo he usado";"No lo conozco";"No lo conozco";"No lo conozco";"No lo conozco";;"Nunca";"No me parece útil";"No me parece útil";"No me parece útil";"No me parece útil";"No me parece útil";"No me parece útil";"No me parece útil";"No me parece útil";"No me parece útil";"No me parece útil";"No me parece útil";;"Estoy en desacuerdo";"Estoy en desacuerdo";"Estoy en desacuerdo";"Estoy en desacuerdo";"Estoy en desacuerdo";"Estoy en desacuerdo";"Estoy en desacuerdo";"Completamente de acuerdo";"Completamente de acuerdo";"Completamente de acuerdo";"Completamente de acuerdo";"Completamente de acuerdo";"Filosofía, Filología y Lingüística";19;"Femenino";
"Estudiante (de grado)";"Correo electrónico, Plataforma de gestión del aprendizaje (Prado, Moodle, Ecampus, etc.), WhatsApp";"Clases presenciales en el aula";"Importante";"Importante";"Muy importante";"Importante";"Importante";"Importante";"Muy importante";"Importante";"Muy importante";"Muy importante";"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"Lo conozco, pero no lo he usado";"No lo conozco";"Lo conozco, pero no lo he usado";;"A veces";"Me gustaría hacerlo";"No me parece útil";"Me gustaría hacerlo";"Me gustaría hacerlo";"Me gustaría hacerlo";"No me parece útil";"No me parece útil";"No me parece útil";"Lo he hecho";"Lo he hecho";"Lo he hecho";;"Más bien en desacuerdo";"Completamente de acuerdo";"Más bien de acuerdo";"Más bien en desacuerdo";"Más bien de acuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Más bien en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Completamente de acuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Más bien de acuerdo";"Ciencias del Comportamiento y de la Educación";20;"Femenino";
"Estudiante (de grado)";"Correo electrónico, Plataforma de gestión del aprendizaje (Prado, Moodle, Ecampus, etc.), WhatsApp";"Correos electrónicos, Clases presenciales en el aula";"Neutral";"Importante";"Muy importante";"Importante";"Muy importante";"Neutral";"Importante";"Muy importante";"Importante";"Importante";"Lo uso en el contexto universitario";"Lo conozco, pero no lo he usado";"No lo conozco";"No lo conozco";"Lo uso en el contexto universitario";;"A veces";"Me gustaría hacerlo";"No me parece útil";"No me parece útil";"No me parece útil";"No me parece útil";"No me parece útil";"No me parece útil";"Lo he hecho";"Lo he hecho";"No me parece útil";"Me gustaría hacerlo";;"Estoy en desacuerdo";"Más bien en desacuerdo";"Más bien de acuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Más bien en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Estoy en desacuerdo";"Más bien de acuerdo";"Más bien en desacuerdo";"Completamente de acuerdo";"Completamente de acuerdo";"Más bien de acuerdo";"Filosofía, Filología y Lingüística";22;"Femenino";
"Estudiante (de grado)";"Correo electrónico, Plataforma de gestión del aprendizaje (Prado, Moodle, Ecampus, etc.)";"Mensajes en plataformas de aprendizaje, En persona ";"Muy importante";"Muy importante";"Muy importante";"Muy importante";"Muy importante";"Muy importante";"Muy importante";"Muy importante";"Muy importante";"Muy importante";"Lo conozco, pero no lo he usado";"No lo conozco";"No lo conozco";"No lo conozco";"No lo conozco";;"A veces";"No me parece útil";"No me parece útil";"Lo he hecho";"Me gustaría hacerlo";"No me parece útil";"No me parece útil";"Me gustaría hacerlo";"No me parece útil";"No me parece útil";"No me parece útil";"Lo he hecho";;"Estoy en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Más bien en desacuerdo";"Estoy en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Estoy en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Completamente de acuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Completamente de acuerdo";"Filosofía, Filología y Lingüística";20;"Femenino";
"Estudiante (de grado)";"Ninguno, ";"Clases presenciales en el aula";"Neutral";"Neutral";"Neutral";"Neutral";"Neutral";"Neutral";"Neutral";"Neutral";"Neutral";"Neutral";"Lo conozco, pero no lo he usado";"No lo conozco";"No lo conozco";"No lo conozco";"No lo conozco";;"Nunca";"No me parece útil";"No me parece útil";"No me parece útil";"No me parece útil";"No me parece útil";"No me parece útil";"No me parece útil";"No me parece útil";"No me parece útil";"No me parece útil";"No me parece útil";;"Estoy en desacuerdo";"Estoy en desacuerdo";"Estoy en desacuerdo";"Estoy en desacuerdo";"Estoy en desacuerdo";"Estoy en desacuerdo";"Estoy en desacuerdo";"Estoy en desacuerdo";"Estoy en desacuerdo";"Estoy en desacuerdo";"Estoy en desacuerdo";"Estoy en desacuerdo";"Filosofía, Filología y Lingüística";46;"Femenino";
"Estudiante (de grado)";"Correo electrónico, Plataforma de gestión del aprendizaje (Prado, Moodle, Ecampus, etc.)";"Videos pregrabados y materiales de lectura, Foros de discusión en línea, Correos electrónicos, Clases presenciales en el aula, Mensajes en plataformas de aprendizaje";"Importante";"Importante";"Importante";"Importante";"Importante";"Importante";"Importante";"Importante";"Importante";"Neutral";"Lo uso tanto en el conexto universitario como para otras tareas";"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";"No lo conozco";"No lo conozco";;"A veces";"Lo he hecho";"Lo he hecho";"Lo he hecho";"Lo he hecho";"Lo he hecho";"No me parece útil";"Lo he hecho";"Lo he hecho";"Lo he hecho";"Me gustaría hacerlo";"Lo he hecho";;"Ni estoy de acuerdo ni en desacuerdo";"Más bien de acuerdo";"Completamente de acuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Más bien de acuerdo";"Más bien de acuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Filosofía, Filología y Lingüística";21;"Femenino";
