Disciplina;ayudan;dependencia-tecnológica;explicaciones-claras;información-segura;manejan-datos;mejorar-habilidades;no-pensamiento-crítico;no-respetan-privacidad;parte-integral;respuestas-confiables;ético
Otras;"Ni estoy de acuerdo ni en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo"
TIC;"Ni estoy de acuerdo ni en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo"
TIC;"Completamente de acuerdo";"Estoy en desacuerdo";"Completamente de acuerdo";"Estoy en desacuerdo";"Estoy en desacuerdo";"Completamente de acuerdo";"Estoy en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Completamente de acuerdo";"Más bien en desacuerdo";"Completamente de acuerdo"
Otras;"Completamente de acuerdo";"Más bien de acuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Más bien de acuerdo";"Más bien en desacuerdo";"Completamente de acuerdo";"Más bien de acuerdo";"Más bien en desacuerdo";"Más bien en desacuerdo";"Más bien de acuerdo";"Completamente de acuerdo"
TIC;"Más bien de acuerdo";"Más bien de acuerdo";"Más bien de acuerdo";"Más bien de acuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Más bien de acuerdo";"Más bien de acuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Más bien de acuerdo";"Más bien en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo"
TIC;"Completamente de acuerdo";"Más bien en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Estoy en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Más bien en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Completamente de acuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Completamente de acuerdo"
TIC;"Completamente de acuerdo";"Más bien en desacuerdo";"Completamente de acuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Completamente de acuerdo";"Más bien en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Más bien de acuerdo";"Completamente de acuerdo";"Completamente de acuerdo"
TIC;"Completamente de acuerdo";"Más bien de acuerdo";"Completamente de acuerdo";"Completamente de acuerdo";"Estoy en desacuerdo";"Más bien de acuerdo";"Más bien de acuerdo";"Completamente de acuerdo";"Más bien de acuerdo";"Más bien de acuerdo";"Más bien de acuerdo"
TIC;"Más bien de acuerdo";"Más bien de acuerdo";"Más bien de acuerdo";"Más bien de acuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Más bien de acuerdo";"Más bien de acuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Más bien de acuerdo"
TIC;"Completamente de acuerdo";"Más bien de acuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Más bien de acuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Más bien de acuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Completamente de acuerdo";"Más bien de acuerdo";"Completamente de acuerdo"
